Time,Right Hand Dominant?,Current Trial,Ball X,Ball Y,Ball Z,Wrist X,Wrist Y,Wrist Z,Hand-Ball Distance,Target Hit?,Error Distance,Ball Velocity m/s,Pole Top X,Pole Top Y,Pole Top Z,Rope-Pole Angle (Degrees),Score,Exploration Mode
325.1067,YES,49,-0.2636312,1.293255,-0.4870414,-0.2350342,1.207398,-0.6303782,0.1695133,NO,0.1151673,3.814351,0,1.5,0.5,78.55982,270,REWARD
327.7956,YES,50,0.2113021,1.19201,-0.4309679,0.3049686,1.192049,-0.6033686,0.1962026,YES,0,4.334906,0,1.5,0.5,72.11917,280,REWARD
331.4178,YES,51,0.1274866,1.134989,-0.4751944,0.2628814,1.162021,-0.6561353,0.2276007,YES,0,3.917126,0,1.5,0.5,69.63823,290,REWARD
335.5067,YES,52,0.3010522,1.59823,-0.3532904,0.4291157,1.594364,-0.5279285,0.2165956,NO,0.5419617,4.209277,0,1.5,0.5,96.19581,290,REWARD
338.3067,YES,53,0.3360971,1.297723,-0.5158412,0.4669303,1.303297,-0.6894722,0.2174767,YES,0,3.434422,0,1.5,0.5,79.29491,305,REWARD
341.3845,YES,54,0.3231843,1.298541,-0.4853862,0.4693013,1.288149,-0.642674,0.2149363,YES,0,3.909083,0,1.5,0.5,79.00636,320,REWARD
344.5511,YES,55,-0.3372308,1.397673,-0.49099,-0.3950696,1.342784,-0.6744063,0.1999993,YES,0,4.790217,0,1.5,0.5,84.41694,335,REWARD
354.0178,YES,56,-0.4473419,1.282121,-0.2904869,-0.4752109,1.543599,-0.4196604,0.2929728,NO,0.1871552,5.628114,0,1.5,0.5,76.51082,345,REWARD
358.4067,YES,57,-0.2360871,1.321886,-0.4681856,-0.2324041,1.199638,-0.6093796,0.1867991,YES,0,5.421227,0,1.5,0.5,79.86655,365,REWARD
361.3734,YES,58,-0.1479992,1.224892,-0.4700647,-0.1385946,1.182757,-0.66212,0.1968478,YES,0,3.954641,0,1.5,0.5,74.339,375,REWARD
369.1289,YES,59,0.1451719,1.085948,-0.4804789,0.2395467,1.099542,-0.6689349,0.2112038,NO,0.1153259,3.771202,0,1.5,0.5,67.32768,375,REWARD
381.9733,YES,60,0.2315208,1.163765,-0.4393592,0.3076086,1.124441,-0.634238,0.2128697,NO,0.1915773,4.634634,0,1.5,0.5,70.8356,375,REWARD
388.1289,YES,61,0.1246277,1.09353,-0.4507711,0.2688187,1.000801,-0.6300509,0.2480545,NO,0.1010221,5.030563,0,1.5,0.5,67.02842,375,REWARD
392.3289,YES,62,-0.06393142,1.227345,-0.4136364,0.1289848,1.013997,-0.5780879,0.331328,NO,0.2269854,5.667313,0,1.5,0.5,73.4217,375,REWARD
397.5956,YES,63,0.2660837,1.177177,-0.3462962,0.3762094,1.23786,-0.4985005,0.1974238,NO,0.2124126,4.555385,0,1.5,0.5,70.004,375,REWARD
